cluster1	cluster2	clusterNew	distance	size
1.0	18.0	99.0	0.0	2.0
3.0	53.0	100.0	0.0	2.0
7.0	34.0	101.0	0.0	2.0
9.0	70.0	102.0	0.0	2.0
11.0	25.0	103.0	0.0	2.0
15.0	63.0	104.0	0.0	2.0
16.0	55.0	105.0	0.0	2.0
21.0	82.0	106.0	0.0	2.0
23.0	59.0	107.0	0.0	2.0
26.0	31.0	108.0	0.0	2.0
27.0	47.0	109.0	0.0	2.0
30.0	37.0	110.0	0.0	2.0
32.0	68.0	111.0	0.0	2.0
38.0	52.0	112.0	0.0	2.0
48.0	87.0	113.0	0.0	2.0
56.0	79.0	114.0	0.0	2.0
62.0	90.0	115.0	0.0	2.0
64.0	104.0	116.0	0.0	3.0
65.0	76.0	117.0	0.0	2.0
75.0	78.0	118.0	0.0	2.0
80.0	94.0	119.0	0.0	2.0
81.0	108.0	120.0	0.0	3.0
85.0	103.0	121.0	0.0	3.0
95.0	117.0	122.0	0.0	3.0
118.0	121.0	123.0	0.0	5.0
2.0	39.0	124.0	1.0	2.0
5.0	113.0	125.0	1.0	3.0
8.0	111.0	126.0	1.0	3.0
13.0	42.0	127.0	1.0	2.0
14.0	98.0	128.0	1.0	2.0
17.0	84.0	129.0	1.0	2.0
22.0	96.0	130.0	1.0	2.0
28.0	112.0	131.0	1.0	3.0
33.0	116.0	132.0	1.0	4.0
36.0	97.0	133.0	1.0	2.0
40.0	99.0	134.0	1.0	3.0
45.0	61.0	135.0	1.0	2.0
50.0	109.0	136.0	1.0	3.0
57.0	110.0	137.0	1.0	3.0
58.0	122.0	138.0	1.0	4.0
69.0	72.0	139.0	1.0	2.0
77.0	92.0	140.0	1.0	2.0
93.0	101.0	141.0	1.0	3.0
100.0	106.0	142.0	1.0	4.0
102.0	132.0	143.0	1.25	6.0
88.0	127.0	144.0	1.5	3.0
89.0	139.0	145.0	1.5	3.0
119.0	130.0	146.0	1.5	4.0
123.0	135.0	147.0	1.5	7.0
115.0	136.0	148.0	1.6667	5.0
19.0	24.0	149.0	2.0	2.0
44.0	74.0	150.0	2.0	2.0
67.0	105.0	151.0	2.0	3.0
91.0	145.0	152.0	2.0	4.0
107.0	114.0	153.0	2.0	4.0
126.0	134.0	154.0	2.0	6.0
140.0	142.0	155.0	2.0	6.0
73.0	141.0	156.0	2.3333	4.0
51.0	124.0	157.0	2.5	3.0
128.0	144.0	158.0	2.5	5.0
131.0	138.0	159.0	2.5833	7.0
20.0	137.0	160.0	2.6667	4.0
146.0	147.0	161.0	2.6786	11.0
6.0	143.0	162.0	2.8333	7.0
0.0	49.0	163.0	3.0	2.0
29.0	149.0	164.0	3.0	3.0
120.0	155.0	165.0	3.1667	9.0
41.0	129.0	166.0	3.5	3.0
125.0	161.0	167.0	3.8788	14.0
148.0	159.0	168.0	4.8571	12.0
83.0	165.0	169.0	4.8889	10.0
4.0	60.0	170.0	5.0	2.0
46.0	71.0	171.0	5.0	2.0
152.0	163.0	172.0	5.0	6.0
154.0	156.0	173.0	5.0833	10.0
43.0	133.0	174.0	5.5	3.0
151.0	169.0	175.0	6.2667	13.0
157.0	160.0	176.0	6.3333	7.0
150.0	162.0	177.0	6.4286	9.0
35.0	86.0	178.0	7.0	2.0
164.0	173.0	179.0	8.7	13.0
167.0	177.0	180.0	8.7143	23.0
158.0	176.0	181.0	9.7143	12.0
10.0	174.0	182.0	10.3333	4.0
166.0	175.0	183.0	11.5128	16.0
168.0	180.0	184.0	12.529	35.0
12.0	178.0	185.0	13.5	3.0
153.0	179.0	186.0	17.6923	17.0
172.0	181.0	187.0	18.5	18.0
183.0	184.0	188.0	22.7125	51.0
54.0	185.0	189.0	23.0	4.0
186.0	187.0	190.0	35.6373	35.0
182.0	189.0	191.0	45.0	8.0
66.0	170.0	192.0	55.5	3.0
171.0	188.0	193.0	57.7745	53.0
190.0	193.0	194.0	74.0485	88.0
191.0	192.0	195.0	96.75	11.0
194.0	195.0	196.0	151.0909	99.0
