cluster1	cluster2	clusterNew	distance	size
0.0	49.0	99.0	0.0	2.0
1.0	32.0	100.0	0.0	2.0
2.0	21.0	101.0	0.0	2.0
4.0	12.0	102.0	0.0	2.0
6.0	15.0	103.0	0.0	2.0
8.0	48.0	104.0	0.0	2.0
9.0	50.0	105.0	0.0	2.0
10.0	43.0	106.0	0.0	2.0
11.0	40.0	107.0	0.0	2.0
17.0	78.0	108.0	0.0	2.0
18.0	57.0	109.0	0.0	2.0
22.0	88.0	110.0	0.0	2.0
23.0	33.0	111.0	0.0	2.0
24.0	42.0	112.0	0.0	2.0
25.0	94.0	113.0	0.0	2.0
28.0	75.0	114.0	0.0	2.0
29.0	98.0	115.0	0.0	2.0
30.0	55.0	116.0	0.0	2.0
34.0	95.0	117.0	0.0	2.0
36.0	70.0	118.0	0.0	2.0
37.0	83.0	119.0	0.0	2.0
56.0	58.0	120.0	0.0	2.0
60.0	106.0	121.0	0.0	3.0
62.0	80.0	122.0	0.0	2.0
64.0	112.0	123.0	0.0	3.0
73.0	109.0	124.0	0.0	3.0
79.0	120.0	125.0	0.0	3.0
93.0	118.0	126.0	0.0	3.0
96.0	105.0	127.0	0.0	3.0
101.0	115.0	128.0	0.0	4.0
116.0	122.0	129.0	0.0	4.0
3.0	123.0	130.0	1.0	4.0
5.0	87.0	131.0	1.0	2.0
14.0	103.0	132.0	1.0	3.0
16.0	27.0	133.0	1.0	2.0
19.0	54.0	134.0	1.0	2.0
20.0	100.0	135.0	1.0	3.0
26.0	92.0	136.0	1.0	2.0
35.0	99.0	137.0	1.0	3.0
38.0	67.0	138.0	1.0	2.0
39.0	59.0	139.0	1.0	2.0
45.0	51.0	140.0	1.0	2.0
47.0	124.0	141.0	1.0	4.0
52.0	85.0	142.0	1.0	2.0
61.0	63.0	143.0	1.0	2.0
68.0	107.0	144.0	1.0	3.0
69.0	90.0	145.0	1.0	2.0
77.0	126.0	146.0	1.0	4.0
91.0	102.0	147.0	1.0	3.0
111.0	125.0	148.0	1.0	5.0
114.0	129.0	149.0	1.0	6.0
128.0	130.0	150.0	1.25	8.0
82.0	142.0	151.0	1.5	3.0
113.0	140.0	152.0	1.5	4.0
117.0	145.0	153.0	1.5	4.0
119.0	133.0	154.0	1.5	4.0
127.0	143.0	155.0	1.5	5.0
141.0	144.0	156.0	1.5833	7.0
104.0	135.0	157.0	1.6667	5.0
137.0	147.0	158.0	1.6667	6.0
131.0	149.0	159.0	1.8333	8.0
132.0	136.0	160.0	1.8333	5.0
13.0	108.0	161.0	2.0	3.0
110.0	121.0	162.0	2.0	5.0
138.0	151.0	163.0	2.5	5.0
152.0	155.0	164.0	2.85	9.0
46.0	71.0	165.0	3.0	2.0
86.0	89.0	166.0	3.0	2.0
154.0	160.0	167.0	3.35	9.0
146.0	150.0	168.0	3.375	12.0
7.0	134.0	169.0	3.5	3.0
31.0	163.0	170.0	4.0	6.0
44.0	53.0	171.0	4.0	2.0
65.0	76.0	172.0	4.0	2.0
81.0	157.0	173.0	4.0	6.0
148.0	159.0	174.0	4.275	13.0
153.0	164.0	175.0	4.5833	13.0
41.0	84.0	176.0	5.0	2.0
158.0	166.0	177.0	5.0	8.0
156.0	173.0	178.0	5.2381	13.0
161.0	167.0	179.0	5.5556	12.0
162.0	168.0	180.0	5.7	17.0
139.0	175.0	181.0	6.5769	15.0
66.0	169.0	182.0	6.6667	4.0
165.0	172.0	183.0	7.5	4.0
170.0	171.0	184.0	7.6667	8.0
72.0	97.0	185.0	9.0	2.0
174.0	179.0	186.0	10.2692	25.0
177.0	180.0	187.0	10.5735	25.0
176.0	184.0	188.0	13.75	10.0
181.0	187.0	189.0	14.36	40.0
74.0	185.0	190.0	18.5	3.0
178.0	186.0	191.0	19.9938	38.0
182.0	190.0	192.0	24.6667	7.0
189.0	191.0	193.0	34.175	78.0
188.0	193.0	194.0	52.0256	88.0
192.0	194.0	195.0	78.8149	95.0
183.0	195.0	196.0	115.1711	99.0
