cluster1	cluster2	clusterNew	distance	size
0.0	89.0	99.0	0.0	2.0
2.0	29.0	100.0	0.0	2.0
3.0	7.0	101.0	0.0	2.0
5.0	9.0	102.0	0.0	2.0
6.0	14.0	103.0	0.0	2.0
12.0	35.0	104.0	0.0	2.0
13.0	45.0	105.0	0.0	2.0
15.0	78.0	106.0	0.0	2.0
17.0	25.0	107.0	0.0	2.0
19.0	36.0	108.0	0.0	2.0
20.0	91.0	109.0	0.0	2.0
23.0	41.0	110.0	0.0	2.0
27.0	28.0	111.0	0.0	2.0
31.0	82.0	112.0	0.0	2.0
33.0	70.0	113.0	0.0	2.0
34.0	64.0	114.0	0.0	2.0
39.0	98.0	115.0	0.0	2.0
42.0	88.0	116.0	0.0	2.0
47.0	90.0	117.0	0.0	2.0
48.0	50.0	118.0	0.0	2.0
49.0	73.0	119.0	0.0	2.0
52.0	118.0	120.0	0.0	3.0
61.0	95.0	121.0	0.0	2.0
62.0	96.0	122.0	0.0	2.0
63.0	105.0	123.0	0.0	3.0
67.0	68.0	124.0	0.0	2.0
69.0	93.0	125.0	0.0	2.0
77.0	119.0	126.0	0.0	3.0
87.0	102.0	127.0	0.0	3.0
94.0	106.0	128.0	0.0	3.0
107.0	114.0	129.0	0.0	4.0
1.0	8.0	130.0	1.0	2.0
11.0	103.0	131.0	1.0	3.0
21.0	116.0	132.0	1.0	3.0
22.0	92.0	133.0	1.0	2.0
24.0	108.0	134.0	1.0	3.0
37.0	79.0	135.0	1.0	2.0
38.0	120.0	136.0	1.0	4.0
44.0	83.0	137.0	1.0	2.0
46.0	84.0	138.0	1.0	2.0
51.0	100.0	139.0	1.0	3.0
53.0	112.0	140.0	1.0	3.0
57.0	126.0	141.0	1.0	4.0
60.0	75.0	142.0	1.0	2.0
72.0	109.0	143.0	1.0	3.0
74.0	97.0	144.0	1.0	2.0
99.0	125.0	145.0	1.0	4.0
111.0	122.0	146.0	1.0	4.0
117.0	141.0	147.0	1.25	6.0
129.0	132.0	148.0	1.3333	7.0
56.0	135.0	149.0	1.5	3.0
71.0	137.0	150.0	1.5	3.0
81.0	130.0	151.0	1.5	3.0
127.0	142.0	152.0	1.5	5.0
136.0	140.0	153.0	1.5833	7.0
115.0	139.0	154.0	1.6667	5.0
123.0	131.0	155.0	1.6667	6.0
18.0	85.0	156.0	2.0	2.0
30.0	124.0	157.0	2.0	3.0
43.0	80.0	158.0	2.0	2.0
55.0	59.0	159.0	2.0	2.0
65.0	76.0	160.0	2.0	2.0
104.0	113.0	161.0	2.0	4.0
110.0	149.0	162.0	2.0	5.0
121.0	128.0	163.0	2.0	5.0
133.0	146.0	164.0	2.0	6.0
143.0	147.0	165.0	2.1667	9.0
101.0	144.0	166.0	2.5	4.0
148.0	154.0	167.0	2.5714	12.0
10.0	134.0	168.0	2.6667	4.0
4.0	54.0	169.0	3.0	2.0
150.0	156.0	170.0	3.0	5.0
153.0	163.0	171.0	3.6286	12.0
145.0	166.0	172.0	3.75	8.0
26.0	158.0	173.0	4.0	3.0
155.0	165.0	174.0	4.0556	15.0
58.0	162.0	175.0	4.8	6.0
16.0	151.0	176.0	5.0	4.0
32.0	159.0	177.0	5.0	3.0
161.0	169.0	178.0	5.5	6.0
167.0	168.0	179.0	5.5	16.0
152.0	173.0	180.0	5.7333	8.0
157.0	170.0	181.0	7.4667	8.0
171.0	176.0	182.0	8.1667	16.0
172.0	174.0	183.0	9.1083	23.0
178.0	180.0	184.0	9.5833	14.0
40.0	177.0	185.0	10.3333	4.0
160.0	175.0	186.0	11.0	8.0
182.0	183.0	187.0	14.5598	39.0
138.0	181.0	188.0	15.5	10.0
179.0	187.0	189.0	23.4135	55.0
185.0	188.0	190.0	25.85	14.0
86.0	164.0	191.0	26.1667	7.0
66.0	184.0	192.0	28.6429	15.0
189.0	191.0	193.0	39.8442	62.0
186.0	190.0	194.0	41.5357	22.0
192.0	193.0	195.0	46.4925	77.0
194.0	195.0	196.0	126.6494	99.0
