cluster1	cluster2	clusterNew	distance	size
1.0	86.0	99.0	0.0	2.0
3.0	88.0	100.0	0.0	2.0
4.0	78.0	101.0	0.0	2.0
5.0	69.0	102.0	0.0	2.0
8.0	16.0	103.0	0.0	2.0
10.0	39.0	104.0	0.0	2.0
11.0	27.0	105.0	0.0	2.0
13.0	14.0	106.0	0.0	2.0
17.0	43.0	107.0	0.0	2.0
18.0	40.0	108.0	0.0	2.0
19.0	29.0	109.0	0.0	2.0
20.0	63.0	110.0	0.0	2.0
23.0	103.0	111.0	0.0	3.0
26.0	51.0	112.0	0.0	2.0
34.0	109.0	113.0	0.0	3.0
37.0	54.0	114.0	0.0	2.0
38.0	95.0	115.0	0.0	2.0
44.0	68.0	116.0	0.0	2.0
47.0	62.0	117.0	0.0	2.0
49.0	50.0	118.0	0.0	2.0
53.0	80.0	119.0	0.0	2.0
72.0	118.0	120.0	0.0	3.0
81.0	114.0	121.0	0.0	3.0
85.0	89.0	122.0	0.0	2.0
87.0	107.0	123.0	0.0	3.0
92.0	102.0	124.0	0.0	3.0
96.0	104.0	125.0	0.0	3.0
98.0	117.0	126.0	0.0	3.0
108.0	116.0	127.0	0.0	4.0
122.0	127.0	128.0	0.0	6.0
2.0	82.0	129.0	1.0	2.0
6.0	15.0	130.0	1.0	2.0
12.0	64.0	131.0	1.0	2.0
22.0	36.0	132.0	1.0	2.0
25.0	42.0	133.0	1.0	2.0
28.0	84.0	134.0	1.0	2.0
30.0	128.0	135.0	1.0	7.0
31.0	52.0	136.0	1.0	2.0
33.0	70.0	137.0	1.0	2.0
45.0	111.0	138.0	1.0	4.0
46.0	59.0	139.0	1.0	2.0
56.0	79.0	140.0	1.0	2.0
60.0	97.0	141.0	1.0	2.0
61.0	120.0	142.0	1.0	4.0
73.0	90.0	143.0	1.0	2.0
74.0	77.0	144.0	1.0	2.0
91.0	100.0	145.0	1.0	3.0
93.0	121.0	146.0	1.0	4.0
105.0	119.0	147.0	1.0	4.0
112.0	124.0	148.0	1.0	5.0
125.0	126.0	149.0	1.0	6.0
99.0	146.0	150.0	1.25	6.0
123.0	148.0	151.0	1.4	8.0
41.0	129.0	152.0	1.5	3.0
101.0	131.0	153.0	1.5	4.0
115.0	136.0	154.0	1.5	4.0
24.0	113.0	155.0	2.0	4.0
32.0	57.0	156.0	2.0	2.0
48.0	67.0	157.0	2.0	2.0
58.0	65.0	158.0	2.0	2.0
94.0	152.0	159.0	2.0	4.0
132.0	134.0	160.0	2.0	4.0
133.0	147.0	161.0	2.0	6.0
143.0	150.0	162.0	2.3333	8.0
7.0	137.0	163.0	2.5	3.0
21.0	144.0	164.0	2.5	3.0
0.0	145.0	165.0	2.6667	4.0
149.0	161.0	166.0	2.6667	12.0
9.0	66.0	167.0	3.0	2.0
83.0	157.0	168.0	3.0	3.0
135.0	156.0	169.0	3.1429	9.0
110.0	138.0	170.0	3.25	6.0
141.0	151.0	171.0	3.375	10.0
71.0	139.0	172.0	3.5	3.0
154.0	164.0	173.0	3.5833	7.0
153.0	165.0	174.0	3.75	8.0
155.0	162.0	175.0	4.25	12.0
160.0	166.0	176.0	4.3333	16.0
130.0	168.0	177.0	5.5	5.0
140.0	158.0	178.0	5.5	4.0
75.0	163.0	179.0	6.3333	4.0
159.0	173.0	180.0	6.7857	11.0
171.0	176.0	181.0	7.05	26.0
170.0	175.0	182.0	7.5	18.0
35.0	174.0	183.0	8.125	9.0
142.0	183.0	184.0	9.0278	13.0
106.0	169.0	185.0	10.4444	11.0
177.0	185.0	186.0	12.6545	16.0
55.0	172.0	187.0	13.3333	4.0
180.0	181.0	188.0	16.2797	37.0
179.0	184.0	189.0	19.25	17.0
182.0	186.0	190.0	22.6667	34.0
188.0	189.0	191.0	28.9078	54.0
167.0	190.0	192.0	44.0	36.0
76.0	178.0	193.0	44.25	5.0
187.0	192.0	194.0	52.9444	40.0
191.0	194.0	195.0	101.6278	94.0
193.0	195.0	196.0	269.6319	99.0
