cluster1	cluster2	clusterNew	distance	size
3.0	28.0	99.0	0.0	2.0
5.0	70.0	100.0	0.0	2.0
8.0	75.0	101.0	0.0	2.0
13.0	48.0	102.0	0.0	2.0
15.0	45.0	103.0	0.0	2.0
17.0	30.0	104.0	0.0	2.0
18.0	68.0	105.0	0.0	2.0
21.0	61.0	106.0	0.0	2.0
22.0	84.0	107.0	0.0	2.0
25.0	39.0	108.0	0.0	2.0
26.0	33.0	109.0	0.0	2.0
31.0	94.0	110.0	0.0	2.0
36.0	60.0	111.0	0.0	2.0
38.0	52.0	112.0	0.0	2.0
41.0	99.0	113.0	0.0	3.0
47.0	53.0	114.0	0.0	2.0
49.0	62.0	115.0	0.0	2.0
55.0	83.0	116.0	0.0	2.0
69.0	112.0	117.0	0.0	3.0
78.0	87.0	118.0	0.0	2.0
108.0	115.0	119.0	0.0	4.0
109.0	118.0	120.0	0.0	4.0
1.0	2.0	121.0	1.0	2.0
9.0	23.0	122.0	1.0	2.0
10.0	27.0	123.0	1.0	2.0
12.0	111.0	124.0	1.0	3.0
14.0	73.0	125.0	1.0	2.0
16.0	58.0	126.0	1.0	2.0
19.0	34.0	127.0	1.0	2.0
32.0	90.0	128.0	1.0	2.0
35.0	43.0	129.0	1.0	2.0
44.0	105.0	130.0	1.0	3.0
51.0	93.0	131.0	1.0	2.0
54.0	86.0	132.0	1.0	2.0
56.0	59.0	133.0	1.0	2.0
63.0	66.0	134.0	1.0	2.0
64.0	117.0	135.0	1.0	4.0
67.0	102.0	136.0	1.0	3.0
72.0	74.0	137.0	1.0	2.0
82.0	110.0	138.0	1.0	3.0
96.0	107.0	139.0	1.0	3.0
104.0	116.0	140.0	1.0	4.0
95.0	135.0	141.0	1.25	5.0
113.0	139.0	142.0	1.3333	6.0
20.0	125.0	143.0	1.5	3.0
24.0	127.0	144.0	1.5	3.0
79.0	126.0	145.0	1.5	3.0
80.0	129.0	146.0	1.5	3.0
101.0	121.0	147.0	1.5	4.0
106.0	128.0	148.0	1.5	4.0
120.0	123.0	149.0	1.5	6.0
0.0	7.0	150.0	2.0	2.0
4.0	103.0	151.0	2.0	3.0
11.0	85.0	152.0	2.0	2.0
40.0	50.0	153.0	2.0	2.0
65.0	76.0	154.0	2.0	2.0
88.0	98.0	155.0	2.0	2.0
138.0	141.0	156.0	2.3333	8.0
100.0	149.0	157.0	2.5	8.0
133.0	145.0	158.0	2.5	5.0
57.0	136.0	159.0	2.6667	4.0
119.0	142.0	160.0	2.6667	10.0
42.0	97.0	161.0	3.0	2.0
91.0	137.0	162.0	3.5	3.0
140.0	158.0	163.0	3.5	9.0
124.0	146.0	164.0	3.6667	6.0
147.0	157.0	165.0	3.875	12.0
29.0	155.0	166.0	4.0	3.0
92.0	114.0	167.0	4.0	3.0
134.0	151.0	168.0	4.1667	5.0
81.0	148.0	169.0	4.25	5.0
46.0	122.0	170.0	4.5	3.0
131.0	156.0	171.0	4.625	10.0
6.0	143.0	172.0	5.0	4.0
89.0	153.0	173.0	5.0	3.0
152.0	159.0	174.0	5.0	6.0
130.0	163.0	175.0	6.2222	12.0
161.0	171.0	176.0	6.3	12.0
150.0	166.0	177.0	6.3333	5.0
77.0	162.0	178.0	7.3333	4.0
71.0	170.0	179.0	8.0	4.0
164.0	165.0	180.0	8.0	18.0
169.0	173.0	181.0	8.2667	8.0
167.0	174.0	182.0	9.6667	9.0
160.0	176.0	183.0	9.85	22.0
144.0	177.0	184.0	10.2	8.0
168.0	172.0	185.0	10.75	9.0
180.0	181.0	186.0	16.0	26.0
132.0	184.0	187.0	20.125	10.0
175.0	182.0	188.0	23.1111	21.0
185.0	186.0	189.0	23.2009	35.0
183.0	187.0	190.0	29.6273	32.0
37.0	154.0	191.0	32.0	3.0
178.0	188.0	192.0	35.4048	25.0
179.0	189.0	193.0	41.4571	39.0
192.0	193.0	194.0	61.5549	64.0
190.0	194.0	195.0	126.7188	96.0
191.0	195.0	196.0	221.1562	99.0
