cluster1	cluster2	clusterNew	distance	size
0.0	29.0	99.0	0.0	2.0
1.0	16.0	100.0	0.0	2.0
2.0	61.0	101.0	0.0	2.0
5.0	87.0	102.0	0.0	2.0
7.0	88.0	103.0	0.0	2.0
8.0	83.0	104.0	0.0	2.0
9.0	97.0	105.0	0.0	2.0
10.0	36.0	106.0	0.0	2.0
11.0	47.0	107.0	0.0	2.0
14.0	20.0	108.0	0.0	2.0
17.0	80.0	109.0	0.0	2.0
18.0	23.0	110.0	0.0	2.0
24.0	72.0	111.0	0.0	2.0
25.0	41.0	112.0	0.0	2.0
26.0	84.0	113.0	0.0	2.0
27.0	42.0	114.0	0.0	2.0
28.0	38.0	115.0	0.0	2.0
30.0	85.0	116.0	0.0	2.0
31.0	51.0	117.0	0.0	2.0
33.0	70.0	118.0	0.0	2.0
34.0	49.0	119.0	0.0	2.0
35.0	56.0	120.0	0.0	2.0
37.0	55.0	121.0	0.0	2.0
44.0	67.0	122.0	0.0	2.0
45.0	63.0	123.0	0.0	2.0
46.0	77.0	124.0	0.0	2.0
48.0	65.0	125.0	0.0	2.0
52.0	62.0	126.0	0.0	2.0
64.0	112.0	127.0	0.0	3.0
66.0	75.0	128.0	0.0	2.0
68.0	110.0	129.0	0.0	3.0
71.0	117.0	130.0	0.0	3.0
74.0	111.0	131.0	0.0	3.0
82.0	119.0	132.0	0.0	3.0
91.0	98.0	133.0	0.0	2.0
92.0	115.0	134.0	0.0	3.0
93.0	114.0	135.0	0.0	3.0
94.0	96.0	136.0	0.0	2.0
122.0	129.0	137.0	0.0	5.0
124.0	135.0	138.0	0.0	5.0
126.0	134.0	139.0	0.0	5.0
3.0	113.0	140.0	1.0	3.0
4.0	58.0	141.0	1.0	2.0
6.0	15.0	142.0	1.0	2.0
19.0	89.0	143.0	1.0	2.0
22.0	139.0	144.0	1.0	6.0
32.0	116.0	145.0	1.0	3.0
39.0	130.0	146.0	1.0	4.0
43.0	60.0	147.0	1.0	2.0
54.0	86.0	148.0	1.0	2.0
59.0	69.0	149.0	1.0	2.0
78.0	128.0	150.0	1.0	3.0
81.0	100.0	151.0	1.0	3.0
99.0	103.0	152.0	1.0	4.0
102.0	109.0	153.0	1.0	4.0
107.0	120.0	154.0	1.0	4.0
132.0	138.0	155.0	1.0	8.0
127.0	144.0	156.0	1.1667	9.0
40.0	145.0	157.0	1.3333	4.0
104.0	151.0	158.0	1.3333	5.0
21.0	143.0	159.0	1.5	3.0
76.0	149.0	160.0	1.5	3.0
106.0	147.0	161.0	1.5	4.0
118.0	153.0	162.0	1.5	6.0
123.0	142.0	163.0	1.5	4.0
131.0	152.0	164.0	1.5	7.0
146.0	155.0	165.0	1.625	12.0
12.0	79.0	166.0	2.0	2.0
13.0	57.0	167.0	2.0	2.0
73.0	108.0	168.0	2.0	3.0
133.0	159.0	169.0	2.0	5.0
137.0	157.0	170.0	2.0	9.0
141.0	150.0	171.0	2.1667	5.0
140.0	156.0	172.0	2.4444	12.0
53.0	154.0	173.0	2.5	5.0
105.0	125.0	174.0	3.0	4.0
164.0	165.0	175.0	3.3095	19.0
95.0	172.0	176.0	3.8333	13.0
162.0	173.0	177.0	4.0	11.0
166.0	171.0	178.0	4.2	7.0
101.0	161.0	179.0	4.75	6.0
121.0	158.0	180.0	4.8	7.0
160.0	170.0	181.0	5.1111	12.0
167.0	168.0	182.0	5.6667	5.0
169.0	175.0	183.0	6.1474	24.0
180.0	181.0	184.0	7.7381	19.0
176.0	183.0	185.0	7.7949	37.0
50.0	179.0	186.0	8.1667	7.0
148.0	177.0	187.0	8.6818	13.0
163.0	182.0	188.0	8.85	9.0
178.0	186.0	189.0	10.0	14.0
174.0	184.0	190.0	12.1842	23.0
136.0	185.0	191.0	13.5946	39.0
187.0	189.0	192.0	16.1538	27.0
90.0	188.0	193.0	19.3333	10.0
190.0	192.0	194.0	35.657	50.0
191.0	194.0	195.0	52.2826	89.0
193.0	195.0	196.0	123.1303	99.0
