cluster1	cluster2	clusterNew	distance	size
4.0	19.0	99.0	0.0	2.0
5.0	87.0	100.0	0.0	2.0
7.0	93.0	101.0	0.0	2.0
9.0	34.0	102.0	0.0	2.0
10.0	27.0	103.0	0.0	2.0
11.0	48.0	104.0	0.0	2.0
12.0	30.0	105.0	0.0	2.0
15.0	55.0	106.0	0.0	2.0
16.0	25.0	107.0	0.0	2.0
20.0	91.0	108.0	0.0	2.0
22.0	53.0	109.0	0.0	2.0
28.0	45.0	110.0	0.0	2.0
29.0	68.0	111.0	0.0	2.0
31.0	76.0	112.0	0.0	2.0
33.0	63.0	113.0	0.0	2.0
36.0	51.0	114.0	0.0	2.0
37.0	56.0	115.0	0.0	2.0
38.0	47.0	116.0	0.0	2.0
40.0	102.0	117.0	0.0	3.0
41.0	90.0	118.0	0.0	2.0
49.0	74.0	119.0	0.0	2.0
50.0	82.0	120.0	0.0	2.0
52.0	97.0	121.0	0.0	2.0
54.0	84.0	122.0	0.0	2.0
61.0	62.0	123.0	0.0	2.0
64.0	79.0	124.0	0.0	2.0
67.0	83.0	125.0	0.0	2.0
75.0	103.0	126.0	0.0	3.0
78.0	80.0	127.0	0.0	2.0
81.0	92.0	128.0	0.0	2.0
85.0	98.0	129.0	0.0	2.0
88.0	106.0	130.0	0.0	3.0
94.0	107.0	131.0	0.0	3.0
96.0	118.0	132.0	0.0	3.0
99.0	111.0	133.0	0.0	4.0
110.0	127.0	134.0	0.0	4.0
112.0	128.0	135.0	0.0	4.0
114.0	123.0	136.0	0.0	4.0
116.0	120.0	137.0	0.0	4.0
125.0	130.0	138.0	0.0	5.0
126.0	136.0	139.0	0.0	7.0
131.0	137.0	140.0	0.0	7.0
1.0	14.0	141.0	1.0	2.0
6.0	115.0	142.0	1.0	3.0
8.0	101.0	143.0	1.0	3.0
13.0	108.0	144.0	1.0	3.0
17.0	135.0	145.0	1.0	5.0
18.0	24.0	146.0	1.0	2.0
23.0	66.0	147.0	1.0	2.0
26.0	132.0	148.0	1.0	4.0
35.0	44.0	149.0	1.0	2.0
39.0	42.0	150.0	1.0	2.0
43.0	60.0	151.0	1.0	2.0
58.0	124.0	152.0	1.0	3.0
100.0	113.0	153.0	1.0	4.0
104.0	140.0	154.0	1.0	9.0
105.0	133.0	155.0	1.0	6.0
117.0	122.0	156.0	1.0	5.0
129.0	134.0	157.0	1.0	6.0
138.0	139.0	158.0	1.0	12.0
109.0	145.0	159.0	1.2	7.0
86.0	142.0	160.0	1.3333	4.0
65.0	150.0	161.0	1.5	3.0
70.0	151.0	162.0	1.5	3.0
157.0	158.0	163.0	1.75	18.0
155.0	156.0	164.0	1.9333	11.0
3.0	77.0	165.0	2.0	2.0
32.0	72.0	166.0	2.0	2.0
57.0	89.0	167.0	2.0	2.0
146.0	149.0	168.0	2.0	4.0
148.0	154.0	169.0	2.0278	13.0
0.0	143.0	170.0	2.3333	4.0
147.0	160.0	171.0	2.5	6.0
153.0	162.0	172.0	2.5	7.0
2.0	161.0	173.0	3.0	4.0
73.0	167.0	174.0	3.0	3.0
95.0	121.0	175.0	3.0	3.0
163.0	169.0	176.0	3.0128	31.0
59.0	170.0	177.0	3.25	5.0
141.0	144.0	178.0	3.8333	5.0
164.0	168.0	179.0	4.0455	15.0
159.0	173.0	180.0	4.8929	11.0
21.0	119.0	181.0	5.0	3.0
69.0	175.0	182.0	5.0	4.0
166.0	179.0	183.0	5.5333	17.0
172.0	176.0	184.0	5.6682	38.0
171.0	178.0	185.0	6.9667	11.0
152.0	177.0	186.0	7.0667	8.0
180.0	184.0	187.0	9.5837	49.0
165.0	181.0	188.0	11.6667	5.0
174.0	185.0	189.0	13.0	14.0
71.0	182.0	190.0	13.75	5.0
183.0	186.0	191.0	14.1324	25.0
187.0	191.0	192.0	20.8441	74.0
188.0	190.0	193.0	24.0	10.0
192.0	193.0	194.0	43.8378	84.0
189.0	194.0	195.0	51.1667	98.0
46.0	195.0	196.0	116.9286	99.0
