cluster1	cluster2	clusterNew	distance	size
1.0	76.0	99.0	0.0	2.0
2.0	6.0	100.0	0.0	2.0
3.0	49.0	101.0	0.0	2.0
4.0	91.0	102.0	0.0	2.0
5.0	51.0	103.0	0.0	2.0
7.0	29.0	104.0	0.0	2.0
10.0	36.0	105.0	0.0	2.0
12.0	18.0	106.0	0.0	2.0
13.0	58.0	107.0	0.0	2.0
14.0	32.0	108.0	0.0	2.0
19.0	24.0	109.0	0.0	2.0
21.0	83.0	110.0	0.0	2.0
25.0	45.0	111.0	0.0	2.0
30.0	44.0	112.0	0.0	2.0
31.0	52.0	113.0	0.0	2.0
33.0	34.0	114.0	0.0	2.0
39.0	109.0	115.0	0.0	3.0
40.0	98.0	116.0	0.0	2.0
42.0	56.0	117.0	0.0	2.0
47.0	80.0	118.0	0.0	2.0
63.0	77.0	119.0	0.0	2.0
64.0	72.0	120.0	0.0	2.0
68.0	70.0	121.0	0.0	2.0
79.0	121.0	122.0	0.0	3.0
86.0	88.0	123.0	0.0	2.0
93.0	104.0	124.0	0.0	3.0
100.0	108.0	125.0	0.0	4.0
101.0	120.0	126.0	0.0	4.0
114.0	115.0	127.0	0.0	5.0
0.0	124.0	128.0	1.0	4.0
15.0	111.0	129.0	1.0	3.0
20.0	105.0	130.0	1.0	3.0
26.0	81.0	131.0	1.0	2.0
27.0	43.0	132.0	1.0	2.0
28.0	62.0	133.0	1.0	2.0
35.0	116.0	134.0	1.0	3.0
37.0	38.0	135.0	1.0	2.0
48.0	59.0	136.0	1.0	2.0
50.0	85.0	137.0	1.0	2.0
57.0	110.0	138.0	1.0	3.0
73.0	78.0	139.0	1.0	2.0
74.0	102.0	140.0	1.0	3.0
75.0	87.0	141.0	1.0	2.0
82.0	95.0	142.0	1.0	2.0
103.0	127.0	143.0	1.0	7.0
106.0	119.0	144.0	1.0	4.0
107.0	117.0	145.0	1.0	4.0
89.0	130.0	146.0	1.3333	4.0
123.0	134.0	147.0	1.3333	5.0
126.0	140.0	148.0	1.3333	7.0
41.0	131.0	149.0	1.5	3.0
69.0	136.0	150.0	1.5	3.0
90.0	141.0	151.0	1.5	3.0
94.0	142.0	152.0	1.5	3.0
113.0	135.0	153.0	1.5	4.0
118.0	132.0	154.0	1.5	4.0
122.0	144.0	155.0	1.5	7.0
128.0	143.0	156.0	1.5357	11.0
125.0	138.0	157.0	1.6667	7.0
17.0	92.0	158.0	2.0	2.0
84.0	99.0	159.0	2.0	3.0
145.0	147.0	160.0	2.3	9.0
61.0	133.0	161.0	2.5	3.0
139.0	146.0	162.0	2.5	6.0
8.0	11.0	163.0	3.0	2.0
46.0	65.0	164.0	3.0	2.0
53.0	55.0	165.0	3.0	2.0
60.0	155.0	166.0	3.1429	8.0
152.0	153.0	167.0	3.25	7.0
148.0	156.0	168.0	3.2987	18.0
149.0	159.0	169.0	3.6667	6.0
137.0	161.0	170.0	3.8333	5.0
22.0	112.0	171.0	4.0	3.0
67.0	96.0	172.0	4.0	2.0
157.0	160.0	173.0	4.0635	16.0
154.0	162.0	174.0	4.4167	10.0
71.0	164.0	175.0	4.5	3.0
129.0	151.0	176.0	4.6667	6.0
16.0	66.0	177.0	5.0	2.0
166.0	173.0	178.0	6.25	24.0
23.0	172.0	179.0	7.0	3.0
168.0	176.0	180.0	7.2222	24.0
165.0	170.0	181.0	7.3	7.0
167.0	169.0	182.0	7.3095	13.0
150.0	177.0	183.0	8.5	5.0
171.0	181.0	184.0	9.619	10.0
163.0	174.0	185.0	9.9	12.0
158.0	182.0	186.0	11.7692	15.0
178.0	185.0	187.0	13.3333	36.0
179.0	186.0	188.0	18.4667	18.0
54.0	97.0	189.0	19.0	2.0
180.0	187.0	190.0	19.6111	60.0
184.0	190.0	191.0	34.9167	70.0
175.0	188.0	192.0	36.2778	21.0
183.0	191.0	193.0	49.0714	75.0
192.0	193.0	194.0	76.7048	96.0
9.0	189.0	195.0	111.5	3.0
194.0	195.0	196.0	156.6458	99.0
