cluster1	cluster2	clusterNew	distance	size
1.0	40.0	99.0	0.0	2.0
4.0	5.0	100.0	0.0	2.0
11.0	48.0	101.0	0.0	2.0
13.0	57.0	102.0	0.0	2.0
14.0	24.0	103.0	0.0	2.0
15.0	98.0	104.0	0.0	2.0
16.0	28.0	105.0	0.0	2.0
21.0	72.0	106.0	0.0	2.0
22.0	80.0	107.0	0.0	2.0
25.0	39.0	108.0	0.0	2.0
26.0	55.0	109.0	0.0	2.0
31.0	38.0	110.0	0.0	2.0
32.0	33.0	111.0	0.0	2.0
34.0	103.0	112.0	0.0	3.0
41.0	86.0	113.0	0.0	2.0
43.0	95.0	114.0	0.0	2.0
45.0	52.0	115.0	0.0	2.0
46.0	71.0	116.0	0.0	2.0
53.0	82.0	117.0	0.0	2.0
61.0	63.0	118.0	0.0	2.0
62.0	76.0	119.0	0.0	2.0
64.0	90.0	120.0	0.0	2.0
65.0	100.0	121.0	0.0	3.0
66.0	96.0	122.0	0.0	2.0
67.0	68.0	123.0	0.0	2.0
73.0	87.0	124.0	0.0	2.0
81.0	109.0	125.0	0.0	3.0
88.0	93.0	126.0	0.0	2.0
92.0	113.0	127.0	0.0	3.0
94.0	118.0	128.0	0.0	3.0
102.0	124.0	129.0	0.0	4.0
110.0	114.0	130.0	0.0	4.0
115.0	120.0	131.0	0.0	4.0
2.0	42.0	132.0	1.0	2.0
7.0	97.0	133.0	1.0	2.0
18.0	119.0	134.0	1.0	3.0
19.0	54.0	135.0	1.0	2.0
27.0	125.0	136.0	1.0	4.0
29.0	112.0	137.0	1.0	4.0
30.0	78.0	138.0	1.0	2.0
35.0	70.0	139.0	1.0	2.0
44.0	51.0	140.0	1.0	2.0
47.0	121.0	141.0	1.0	4.0
49.0	106.0	142.0	1.0	3.0
50.0	131.0	143.0	1.0	5.0
60.0	108.0	144.0	1.0	3.0
75.0	85.0	145.0	1.0	2.0
83.0	116.0	146.0	1.0	3.0
99.0	129.0	147.0	1.0	6.0
128.0	130.0	148.0	1.0	7.0
105.0	136.0	149.0	1.25	6.0
122.0	144.0	150.0	1.3333	5.0
123.0	134.0	151.0	1.3333	5.0
107.0	140.0	152.0	1.5	4.0
141.0	145.0	153.0	1.75	6.0
3.0	74.0	154.0	2.0	2.0
12.0	117.0	155.0	2.0	3.0
36.0	69.0	156.0	2.0	2.0
56.0	79.0	157.0	2.0	2.0
84.0	127.0	158.0	2.0	4.0
104.0	143.0	159.0	2.2	7.0
20.0	147.0	160.0	2.3333	7.0
89.0	132.0	161.0	2.5	3.0
148.0	150.0	162.0	2.7714	12.0
58.0	149.0	163.0	2.8333	7.0
8.0	111.0	164.0	3.0	3.0
91.0	154.0	165.0	3.0	3.0
126.0	156.0	166.0	3.0	4.0
135.0	137.0	167.0	3.25	6.0
101.0	146.0	168.0	3.3333	5.0
59.0	139.0	169.0	3.5	3.0
152.0	153.0	170.0	3.5833	10.0
160.0	164.0	171.0	4.0	10.0
138.0	155.0	172.0	4.1667	5.0
133.0	166.0	173.0	5.0	6.0
159.0	162.0	174.0	5.0119	19.0
142.0	165.0	175.0	5.3333	6.0
17.0	158.0	176.0	5.5	5.0
6.0	167.0	177.0	5.6667	7.0
157.0	168.0	178.0	6.0	7.0
151.0	170.0	179.0	6.3	15.0
163.0	176.0	180.0	7.1714	12.0
169.0	172.0	181.0	7.6667	8.0
171.0	177.0	182.0	8.3429	17.0
0.0	173.0	183.0	10.1667	7.0
174.0	179.0	184.0	11.2632	34.0
161.0	175.0	185.0	12.0	9.0
178.0	180.0	186.0	13.7024	19.0
9.0	182.0	187.0	15.7647	18.0
77.0	185.0	188.0	18.6667	10.0
10.0	183.0	189.0	19.2857	8.0
181.0	184.0	190.0	20.1691	42.0
186.0	190.0	191.0	29.916	61.0
188.0	189.0	192.0	32.325	18.0
187.0	191.0	193.0	48.8816	79.0
192.0	193.0	194.0	89.2004	97.0
23.0	37.0	195.0	112.0	2.0
194.0	195.0	196.0	172.1856	99.0
