cluster1	cluster2	clusterNew	distance	size
0.0	24.0	99.0	0.0	2.0
2.0	30.0	100.0	0.0	2.0
4.0	60.0	101.0	0.0	2.0
5.0	78.0	102.0	0.0	2.0
6.0	44.0	103.0	0.0	2.0
8.0	40.0	104.0	0.0	2.0
9.0	16.0	105.0	0.0	2.0
10.0	36.0	106.0	0.0	2.0
11.0	17.0	107.0	0.0	2.0
12.0	52.0	108.0	0.0	2.0
15.0	31.0	109.0	0.0	2.0
18.0	56.0	110.0	0.0	2.0
19.0	97.0	111.0	0.0	2.0
20.0	23.0	112.0	0.0	2.0
21.0	82.0	113.0	0.0	2.0
25.0	88.0	114.0	0.0	2.0
26.0	37.0	115.0	0.0	2.0
28.0	62.0	116.0	0.0	2.0
29.0	51.0	117.0	0.0	2.0
35.0	38.0	118.0	0.0	2.0
41.0	92.0	119.0	0.0	2.0
45.0	48.0	120.0	0.0	2.0
49.0	96.0	121.0	0.0	2.0
50.0	61.0	122.0	0.0	2.0
53.0	74.0	123.0	0.0	2.0
66.0	112.0	124.0	0.0	3.0
67.0	85.0	125.0	0.0	2.0
68.0	104.0	126.0	0.0	3.0
69.0	93.0	127.0	0.0	2.0
70.0	100.0	128.0	0.0	3.0
77.0	86.0	129.0	0.0	2.0
81.0	103.0	130.0	0.0	3.0
84.0	123.0	131.0	0.0	3.0
90.0	94.0	132.0	0.0	2.0
95.0	132.0	133.0	0.0	3.0
98.0	114.0	134.0	0.0	3.0
99.0	127.0	135.0	0.0	4.0
105.0	110.0	136.0	0.0	4.0
109.0	120.0	137.0	0.0	4.0
118.0	128.0	138.0	0.0	5.0
1.0	14.0	139.0	1.0	2.0
3.0	54.0	140.0	1.0	2.0
7.0	34.0	141.0	1.0	2.0
22.0	83.0	142.0	1.0	2.0
27.0	87.0	143.0	1.0	2.0
32.0	126.0	144.0	1.0	4.0
33.0	113.0	145.0	1.0	3.0
39.0	117.0	146.0	1.0	3.0
43.0	134.0	147.0	1.0	4.0
46.0	47.0	148.0	1.0	2.0
63.0	115.0	149.0	1.0	3.0
64.0	101.0	150.0	1.0	3.0
71.0	116.0	151.0	1.0	3.0
72.0	91.0	152.0	1.0	2.0
73.0	124.0	153.0	1.0	4.0
80.0	130.0	154.0	1.0	4.0
107.0	119.0	155.0	1.0	4.0
108.0	133.0	156.0	1.0	5.0
111.0	135.0	157.0	1.0	6.0
125.0	136.0	158.0	1.0	6.0
137.0	138.0	159.0	1.0	9.0
121.0	157.0	160.0	1.3333	8.0
42.0	141.0	161.0	1.5	3.0
102.0	143.0	162.0	1.5	4.0
106.0	142.0	163.0	1.5	4.0
131.0	148.0	164.0	1.5	5.0
122.0	146.0	165.0	1.6667	5.0
156.0	159.0	166.0	1.8444	14.0
147.0	150.0	167.0	1.9167	7.0
57.0	58.0	168.0	2.0	2.0
145.0	149.0	169.0	2.0	6.0
153.0	154.0	170.0	2.0	8.0
155.0	164.0	171.0	2.1	9.0
139.0	158.0	172.0	2.1667	8.0
55.0	59.0	173.0	3.0	2.0
89.0	165.0	174.0	3.0	6.0
129.0	160.0	175.0	3.0	10.0
144.0	172.0	176.0	3.125	12.0
75.0	140.0	177.0	3.5	3.0
161.0	174.0	178.0	3.5	9.0
166.0	169.0	179.0	3.881	20.0
151.0	171.0	180.0	4.0	12.0
163.0	167.0	181.0	4.3214	11.0
65.0	79.0	182.0	5.0	2.0
152.0	180.0	183.0	5.1667	14.0
170.0	176.0	184.0	5.9167	20.0
162.0	177.0	185.0	6.5833	7.0
175.0	178.0	186.0	7.9333	19.0
179.0	181.0	187.0	7.95	31.0
13.0	173.0	188.0	9.5	3.0
168.0	182.0	189.0	9.5	4.0
183.0	185.0	190.0	10.6429	21.0
184.0	187.0	191.0	13.671	51.0
186.0	190.0	192.0	21.6817	40.0
191.0	192.0	193.0	34.7152	91.0
188.0	189.0	194.0	42.0833	7.0
193.0	194.0	195.0	75.4835	98.0
76.0	195.0	196.0	223.3776	99.0
