cluster1	cluster2	clusterNew	distance	size
0.0	21.0	99.0	0.0	2.0
1.0	13.0	100.0	0.0	2.0
2.0	7.0	101.0	0.0	2.0
3.0	42.0	102.0	0.0	2.0
9.0	45.0	103.0	0.0	2.0
10.0	54.0	104.0	0.0	2.0
14.0	20.0	105.0	0.0	2.0
16.0	55.0	106.0	0.0	2.0
17.0	66.0	107.0	0.0	2.0
19.0	34.0	108.0	0.0	2.0
22.0	39.0	109.0	0.0	2.0
23.0	71.0	110.0	0.0	2.0
29.0	37.0	111.0	0.0	2.0
32.0	75.0	112.0	0.0	2.0
36.0	83.0	113.0	0.0	2.0
47.0	81.0	114.0	0.0	2.0
48.0	56.0	115.0	0.0	2.0
49.0	64.0	116.0	0.0	2.0
50.0	61.0	117.0	0.0	2.0
51.0	94.0	118.0	0.0	2.0
58.0	103.0	119.0	0.0	3.0
63.0	106.0	120.0	0.0	3.0
65.0	89.0	121.0	0.0	2.0
72.0	91.0	122.0	0.0	2.0
73.0	105.0	123.0	0.0	3.0
74.0	99.0	124.0	0.0	3.0
76.0	97.0	125.0	0.0	2.0
77.0	102.0	126.0	0.0	3.0
79.0	115.0	127.0	0.0	3.0
80.0	90.0	128.0	0.0	2.0
87.0	100.0	129.0	0.0	3.0
88.0	98.0	130.0	0.0	2.0
93.0	108.0	131.0	0.0	3.0
101.0	111.0	132.0	0.0	4.0
122.0	132.0	133.0	0.0	6.0
5.0	53.0	134.0	1.0	2.0
6.0	128.0	135.0	1.0	3.0
8.0	70.0	136.0	1.0	2.0
11.0	127.0	137.0	1.0	4.0
15.0	119.0	138.0	1.0	4.0
18.0	117.0	139.0	1.0	3.0
24.0	110.0	140.0	1.0	3.0
25.0	62.0	141.0	1.0	2.0
26.0	27.0	142.0	1.0	2.0
31.0	96.0	143.0	1.0	2.0
38.0	82.0	144.0	1.0	2.0
40.0	68.0	145.0	1.0	2.0
57.0	129.0	146.0	1.0	4.0
67.0	104.0	147.0	1.0	3.0
69.0	109.0	148.0	1.0	3.0
114.0	120.0	149.0	1.0	5.0
116.0	130.0	150.0	1.0	4.0
121.0	125.0	151.0	1.0	4.0
124.0	131.0	152.0	1.0	6.0
123.0	134.0	153.0	1.5	5.0
133.0	152.0	154.0	1.5	12.0
138.0	149.0	155.0	1.65	9.0
135.0	142.0	156.0	1.8333	5.0
147.0	151.0	157.0	1.8333	7.0
12.0	92.0	158.0	2.0	2.0
30.0	113.0	159.0	2.0	3.0
35.0	86.0	160.0	2.0	2.0
41.0	84.0	161.0	2.0	2.0
44.0	59.0	162.0	2.0	2.0
118.0	126.0	163.0	2.0	5.0
33.0	146.0	164.0	2.25	5.0
28.0	148.0	165.0	2.3333	4.0
52.0	144.0	166.0	2.5	3.0
85.0	159.0	167.0	2.6667	4.0
150.0	154.0	168.0	2.75	16.0
137.0	155.0	169.0	2.9167	13.0
4.0	107.0	170.0	3.0	3.0
95.0	161.0	171.0	3.0	3.0
153.0	156.0	172.0	3.2	10.0
141.0	166.0	173.0	3.8333	5.0
43.0	162.0	174.0	4.0	3.0
140.0	168.0	175.0	4.1042	19.0
136.0	164.0	176.0	4.3	7.0
145.0	160.0	177.0	4.5	4.0
143.0	165.0	178.0	5.25	6.0
139.0	170.0	179.0	5.3333	6.0
157.0	167.0	180.0	5.7143	11.0
78.0	158.0	181.0	6.0	3.0
163.0	175.0	182.0	6.0105	24.0
172.0	176.0	183.0	6.4286	17.0
171.0	173.0	184.0	6.8	8.0
60.0	174.0	185.0	7.3333	4.0
112.0	177.0	186.0	7.75	6.0
169.0	183.0	187.0	9.8778	30.0
180.0	182.0	188.0	11.4053	35.0
178.0	184.0	189.0	12.75	14.0
179.0	185.0	190.0	14.8333	10.0
181.0	186.0	191.0	17.8333	9.0
188.0	189.0	192.0	25.2571	49.0
187.0	191.0	193.0	28.7444	39.0
190.0	192.0	194.0	37.0735	59.0
193.0	194.0	195.0	89.3898	98.0
46.0	195.0	196.0	127.1837	99.0
