#id: 3
#name: S.cerevisiae - Whole organism (Integrated)
#score: 23.39
#weight: 
#description: integrated dataset: weighted average of all S.cerevisiae WHOLE_ORGANISM datasets<br/><b>Interaction consistency score</b>: 23.39&nbsp<b>Coverage</b>: 96
#organ: WHOLE_ORGANISM
#integrated : true
#coverage: 96
#publication_year: 2015
#filename: 4932-WHOLE_ORGANISM-integrated.txt
#
internal_id	string_external_id	abundance
629956	4932.YDR122W	22.8
634401	4932.YOL062C	32.8
634142	4932.YNL234W	6.53
633383	4932.YLR467W	1.28
632247	4932.YJL194W	2.4
634351	4932.YOL015W	1.84
629634	4932.YDL070W	35.8
634773	4932.YOR241W	107
632925	4932.YLR056W	368
635278	4932.YPR039W	1.24
632570	4932.YKL110C	52.7
633496	4932.YML100W-A	1.32
629352	4932.YBR280C	2.02
633093	4932.YLR204W	2.95
633491	4932.YML097C	55.1
632695	4932.YKR007W	36.9
629662	4932.YDL096C	1.57
631765	4932.YHR193C	996
629025	4932.YBL099W	724
634216	4932.YNL305C	2.03
633559	4932.YMR023C	8.65
634642	4932.YOR119C	8.84
631859	4932.YIL047C-A	0.145
634095	4932.YNL187W	1.44
633687	4932.YMR141C	1.43
633643	4932.YMR101C	7.56
629421	4932.YCL045C	95.5
629513	4932.YCR061W	2.48
634731	4932.YOR199W	3.89
635355	4932.YPR115W	8.76
631650	4932.YHR088W	42.7
629063	4932.YBR017C	62.1
635413	4932.YPR162C	32.6
631341	4932.YGR166W	16.1
629733	4932.YDL161W	44.2
632503	4932.YKL050C	4.46
632338	4932.YJR055W	25.9
630989	4932.YGL099W	218
630779	4932.YFL030W	19.4
631937	4932.YIL119C	14.3
635140	4932.YPL193W	8.73
633901	4932.YNL005C	57.0
631110	4932.YGL217C	0.988
632196	4932.YJL144W	5.89
629058	4932.YBR012W-B	4.26
629057	4932.YBR012W-A	13.7
632424	4932.YJR139C	834
629192	4932.YBR133C	13.6
629222	4932.YBR162C	145
634653	4932.YOR130C	27.7
632127	4932.YJL079C	16.7
630907	4932.YGL019W	102
631378	4932.YGR201C	3.91
634080	4932.YNL172W	4.09
633957	4932.YNL058C	4.97
635105	4932.YPL160W	1834
633919	4932.YNL023C	7.07
630057	4932.YDR214W	238
631944	4932.YIL126W	59.8
633193	4932.YLR295C	190
631736	4932.YHR168W	3.17
634584	4932.YOR064C	9.36
634684	4932.YOR159C	5.01
634420	4932.YOL081W	9.36
634373	4932.YOL036W	1.76
631039	4932.YGL148W	325
634549	4932.YOR031W	1.28
635458	4932.YPR204C-A	0.007
629354	4932.YBR282W	28.6
630032	4932.YDR194C	188
634459	4932.YOL114C	1.53
633803	4932.YMR244C-A	29.5
634284	4932.YNR030W	56.8
628838	4932.YAL037C-A	0.128
633390	4932.YML007C-A	14.2
632532	4932.YKL076C	1.49
630330	4932.YDR466W	0.206
630872	4932.YFR045W	2.87
631805	4932.YIL002C	3.52
631329	4932.YGR159C	971
630979	4932.YGL089C	1.4
630855	4932.YFR032C	1.19
634021	4932.YNL118C	158
631122	4932.YGL228W	310
632401	4932.YJR117W	229
629260	4932.YBR196C-A	0.221
629261	4932.YBR196C-B	0.908
633260	4932.YLR357W	41.0
630662	4932.YER127W	26.6
628933	4932.YBL015W	110
632885	4932.YLR017W	141
631672	4932.YHR110W	13.3
629087	4932.YBR041W	148
634938	4932.YOR394W	1.4
635019	4932.YPL078C	321
629497	4932.YCR044C	37.3
629602	4932.YDL039C	1.19
632665	4932.YKL202W	1.46
634796	4932.YOR264W	11.8
634717	4932.YOR188W	14.2
628947	4932.YBL029C-A	26.2
631361	4932.YGR184C	16.9
634907	4932.YOR366W	1.15
634183	4932.YNL275W	6.69
628888	4932.YAR015W	236
634927	4932.YOR384W	2.87
632849	4932.YLL051C	2.23
630256	4932.YDR395W	226
632948	4932.YLR079W	9.47
633316	4932.YLR408C	17.4
633635	4932.YMR093W	354
629289	4932.YBR221W-A	0.159
629909	4932.YDR079W	10.7
633828	4932.YMR268C	8.68
634697	4932.YOR169C	0.097
633462	4932.YML070W	462
635311	4932.YPR072W	102
633651	4932.YMR108W	593
629542	4932.YCR091W	0.617
630581	4932.YER062C	285
630087	4932.YDR244W	23.6
630739	4932.YER189W	1.2
629706	4932.YDL137W	273
631452	4932.YGR271W	9.15
630076	4932.YDR233C	1054
631236	4932.YGR071C	11.4
629559	4932.YCR106W	1.37
629026	4932.YBL100C	0.066
630643	4932.YER109C	1.78
630352	4932.YDR489W	3.69
635232	4932.YPL282C	1.51
635288	4932.YPR049C	3.96
629621	4932.YDL057W	1.44
635251	4932.YPR014C	1.64
631436	4932.YGR257C	33.3
630468	4932.YEL045C	1.32
635183	4932.YPL235W	122
632993	4932.YLR122C	1.32
633035	4932.YLR155C	1.28
629012	4932.YBL087C	2124
632182	4932.YJL132W	2.93
631082	4932.YGL190C	93.0
629164	4932.YBR110W	46.8
629977	4932.YDR144C	8.72
634708	4932.YOR180C	0.627
630797	4932.YFL046W	2.48
634625	4932.YOR103C	42.3
632597	4932.YKL137W	8.0
630309	4932.YDR447C	1488
628866	4932.YAL061W	34.4
634235	4932.YNL324W	1.61
635389	4932.YPR145W	1400
632109	4932.YJL063C	60.1
633696	4932.YMR149W	152
634961	4932.YPL021W	2.65
632005	4932.YIR010W	15.5
630184	4932.YDR331W	26.6
632162	4932.YJL114W	0.054
632733	4932.YKR044W	5.31
633344	4932.YLR433C	74.7
633608	4932.YMR068W	15.2
633039	4932.YLR157C-A	20.3
633041	4932.YLR157C-C	0.07
633040	4932.YLR157C-B	10.4
631948	4932.YIL130W	17.3
630543	4932.YER032W	1.03
632353	4932.YJR070C	687
630890	4932.YGL005C	16.6
631591	4932.YHR043C	31.5
629677	4932.YDL111C	85.8
633678	4932.YMR133W	0.277
634947	4932.YPL007C	19.8
