not	aln
0.12713189655172408	0.0512390625
0.12635283018867924	0.08954374999999998
0.1734507936507936	0.09322734375000007
0.10214000000000001	0.04925546874999999
0.11580727272727272	0.06533281250000005
0.19284374999999992	0.05633359375000001
0.27853804347826083	0.05387890625
0.234254945054945	0.052275781249999986
0.16657356321839076	0.07190937500000003
0.18115308641975314	0.07153515625000004
0.20179487179487182	0.09309375000000002
0.1875281690140845	0.08387734375000001
0.1515396226415094	0.057189843750000004
0.15829782608695647	0.060979687500000004
0.18095624999999999	0.05476171875
0.20190365853658537	0.056968750000000026
